ID_Pedido,Fecha_Pedido,Ciudad_Destino,Zona_Entrega,Tipo_Flor,Variedad_Flor,Calidad_Producto,Cantidad_Tallos,Precio_Unitario_USD,Canal_Venta,Cliente_Corporativo,Metodo_Pago,Estado_Pedido,Costo_Envio_USD,Tipo_Empaque,Peso_Kg,Temperatura_Contenedor_C,Humedad_Relativa_Pct,Dias_En_Florero_Garantizados,Codigo_Arancelario,Inspeccion_Fitosanitaria,Sello_Sostenibilidad,Id_Cultivo_Origen,Calificacion_Cliente,Comentario_Cliente_PQRS,Dias_Atraso_Entrega,Diferencia_Tallos_Facturados_vs_Recibidos,Alerta_Ruptura_Cadena_Frio,Requiere_Soporte_Legal_Aduana,Total_Venta_USD,Categoria_PQRS_Validada
FAC-100390,2025-01-08,Cali,Yumbo,Clavel,Clavel Exportación,Segunda,1380,0.28,Exportación EE.UU.,Cliente_20,PayPal,Pendiente,198.48,Procon (Balde),55.42,9.0,91,18,0603.11.00,Aprobado,Florverde,FINCA-2,5,Petición de estado de cuenta del último mes,0,12,SI,NO,584.88,Reclamo
FAC-100391,2026-05-12,Cali,Yumbo,Orquídea,Orquídea Exportación,Segunda,3336,2.07,E-commerce,Cliente_22,Transferencia Bancaria,Entregado,144.06,Caja Master,25.19,5.4,93,15,0603.12.00,Aprobado,Florverde,FINCA-4,5,Pongan un centro de acopio más cercano a Rionegro,3,0,NO,NO,7049.58,Sugerencia
FAC-100392,2025-02-17,Pereira,Dosquebradas,Girasol,Girasol Exportación,Premium,252,1.15,Exportación Europa,Cliente_9,Efectivo,Cancelado,164.98,Procon (Balde),29.87,2.7,84,7,0603.11.00,Aprobado,Ninguno,FINCA-4,3,Pongan un centro de acopio más cercano a Rionegro,1,0,SI,NO,454.78,Reclamo
FAC-100393,2026-04-20,Cali,Yumbo,Crisantemo,Crisantemo Exportación,Segunda,5400,1.13,Exportación Europa,Cliente_12,PayPal,En Tránsito,185.46,Procon (Balde),76.07,6.7,95,14,0603.12.00,Rechazado,Rainforest Alliance,FINCA-1,4,Solicito copia del certificado fitosanitario de exportación,0,12,SI,SI,6287.46,Reclamo
FAC-100394,2026-01-21,Cali,Yumbo,Astromelia,Astromelia Exportación,Premium,1068,2.14,Exportación EE.UU.,Cliente_31,Tarjeta de Crédito,Retenido en Aduana,275.03,Caja Master,72.99,2.2,81,14,0603.12.00,Rechazado,Ninguno,FINCA-5,3,La rosa llegó marchita y sin cadena de frío,0,0,SI,SI,2560.55,Reclamo
FAC-100395,2026-03-11,Medellín,Valle de Aburrá,Astromelia,Astromelia Exportación,Estándar,216,1.23,Mercado Local,Cliente_24,Tarjeta de Crédito,En Tránsito,271.32,Procon (Balde),16.38,4.1,93,18,0603.11.00,Aprobado,Florverde,FINCA-4,5,Cobro injustificado de tarifa logística en la factura,0,0,NO,NO,537.0,Reclamo
FAC-100396,2025-05-02,Pereira,Zona Cafetera,Girasol,Girasol Exportación,Estándar,4320,1.47,E-commerce,Cliente_39,Carta de Crédito,Cancelado,341.44,Ramo Individual,58.28,7.2,80,6,0603.11.00,Aprobado,Ninguno,FINCA-1,4,La rosa llegó marchita y sin cadena de frío,0,0,SI,NO,6691.84,Reclamo
FAC-100397,2025-03-27,Bogotá,Sabana Centro,Girasol,Girasol Exportación,Estándar,3060,2.0,Exportación EE.UU.,Cliente_17,Tarjeta de Crédito,Entregado,152.23,Caja Master,68.93,5.9,91,7,0603.12.00,Aprobado,Florverde,FINCA-5,3,Pongan un centro de acopio más cercano a Rionegro,5,0,NO,NO,6272.23,Queja
FAC-100398,2025-07-28,Bogotá,Zona Norte,Hortensia,Hortensia Exportación,Segunda,2568,2.42,E-commerce,Cliente_9,Efectivo,En Tránsito,302.12,Procon (Balde),74.84,4.8,81,5,0603.11.00,Aprobado,Ninguno,FINCA-5,5,Petición de estado de cuenta del último mes,0,0,SI,NO,6516.68,Reclamo
FAC-100399,2025-09-06,Cali,Palmira,Girasol,Girasol Exportación,Segunda,600,1.91,Exportación EE.UU.,Cliente_25,Efectivo,En Tránsito,230.86,Ramo Individual,6.94,5.3,94,13,0603.12.00,Aprobado,Rainforest Alliance,FINCA-3,1,Solicito copia del certificado fitosanitario de exportación,0,0,NO,NO,1376.86,Petición
FAC-100400,2025-09-04,Medellín,Valle de Aburrá,Clavel,Clavel Exportación,Segunda,1044,1.62,Mercado Local,Cliente_32,Efectivo,Entregado,162.41,Caja Master,79.43,1.7,79,18,0603.11.00,Rechazado,Rainforest Alliance,FINCA-1,4,La rosa llegó marchita y sin cadena de frío,0,24,SI,SI,1853.69,Reclamo
FAC-100401,2025-04-20,Cali,Yumbo,Clavel,Clavel Exportación,Estándar,1572,0.34,Exportación Europa,Cliente_15,Transferencia Bancaria,Cancelado,41.65,Procon (Balde),57.67,2.0,91,19,0603.11.00,Aprobado,Florverde,FINCA-1,3,Faltaron 5 docenas de claveles en la caja master,0,0,NO,NO,576.13,Sugerencia
FAC-100402,2026-03-19,Cali,Yumbo,Crisantemo,Crisantemo Exportación,Premium,3756,2.38,E-commerce,Cliente_9,Transferencia Bancaria,Pendiente,251.32,Ramo Individual,8.26,5.7,85,14,0603.12.00,Rechazado,Ninguno,FINCA-5,1,Petición de estado de cuenta del último mes,0,0,NO,SI,9190.6,Petición
FAC-100403,2025-07-25,Bogotá,Zona Norte,Clavel,Clavel Exportación,Segunda,2568,2.16,Exportación EE.UU.,Cliente_45,Tarjeta de Crédito,Entregado,266.55,Ramo Individual,42.54,2.1,95,16,0603.11.00,Aprobado,Rainforest Alliance,FINCA-4,1,Deberían implementar empaques biodegradables,0,0,NO,NO,5813.43,Sugerencia
FAC-100404,2026-04-08,Bogotá,Zona Sur,Clavel,Clavel Exportación,Segunda,4296,0.15,Mercado Local,Cliente_46,Carta de Crédito,Retenido en Aduana,322.93,Ramo Individual,56.34,8.3,82,19,0603.12.00,Aprobado,Ninguno,FINCA-5,3,Cobro injustificado de tarifa logística en la factura,2,0,SI,SI,967.33,Reclamo
FAC-100405,2025-01-31,Pereira,Zona Cafetera,Clavel,Clavel Exportación,Estándar,780,1.73,Mercado Local,Cliente_46,Tarjeta de Crédito,Entregado,22.71,Ramo Individual,53.23,4.9,91,20,0603.12.00,Rechazado,Florverde,FINCA-4,3,Mala atención en el counter de despacho,1,0,NO,SI,1372.11,Petición
FAC-100406,2025-03-26,Cali,Palmira,Rosa,Rosa Exportación,Premium,1224,1.46,E-commerce,Cliente_46,PayPal,Entregado,91.83,Procon (Balde),60.96,1.8,90,7,0603.11.00,Aprobado,Florverde,FINCA-3,1,Mala atención en el counter de despacho,0,0,NO,NO,1878.87,Sugerencia
FAC-100407,2025-07-14,Bogotá,Sabana Occidente,Crisantemo,Crisantemo Exportación,Estándar,816,0.48,Exportación EE.UU.,Cliente_31,Efectivo,Entregado,45.36,Ramo Individual,18.9,4.4,75,8,0603.11.00,Rechazado,Florverde,FINCA-2,1,Petición de estado de cuenta del último mes,0,0,SI,SI,437.04,Reclamo
FAC-100408,2025-01-02,Bogotá,Zona Sur,Astromelia,Astromelia Exportación,Premium,5868,1.94,E-commerce,Cliente_12,Efectivo,Pendiente,257.62,Ramo Individual,76.66,8.1,81,12,0603.11.00,Aprobado,Rainforest Alliance,FINCA-3,5,Deberían implementar empaques biodegradables,1,12,SI,NO,11641.54,Reclamo
FAC-100409,2025-07-19,Medellín,Rionegro,Orquídea,Orquídea Exportación,Premium,3996,1.4,Mercado Local,Cliente_12,Tarjeta de Crédito,Pendiente,118.6,Procon (Balde),74.13,5.8,90,11,0603.12.00,Aprobado,Rainforest Alliance,FINCA-5,4,Mala atención en el counter de despacho,0,0,NO,NO,5713.0,Sugerencia
FAC-100410,2025-05-16,Cali,Palmira,Clavel,Clavel Exportación,Segunda,4944,0.86,Exportación EE.UU.,Cliente_10,Efectivo,Cancelado,38.47,Ramo Individual,28.24,6.9,85,21,0603.12.00,Rechazado,Florverde,FINCA-1,2,Cobro injustificado de tarifa logística en la factura,0,0,SI,SI,4290.31,Reclamo
FAC-100411,2026-04-20,Cali,Yumbo,Orquídea,Orquídea Exportación,Estándar,4212,2.43,Mercado Local,Cliente_7,Transferencia Bancaria,En Tránsito,87.65,Ramo Individual,43.83,1.8,75,11,0603.12.00,Aprobado,Rainforest Alliance,FINCA-5,2,Sugiero habilitar pagos con criptomonedas para exportación,6,12,SI,NO,10322.81,Reclamo
FAC-100412,2026-02-06,Medellín,Valle de Aburrá,Girasol,Girasol Exportación,Estándar,3816,2.11,Mercado Local,Cliente_21,Carta de Crédito,En Tránsito,204.25,Ramo Individual,44.48,3.4,96,7,0603.11.00,Rechazado,Florverde,FINCA-5,2,Petición de estado de cuenta del último mes,6,0,NO,SI,8256.01,Queja
FAC-100413,2026-02-06,Bogotá,Sabana Centro,Hortensia,Hortensia Exportación,Estándar,288,1.62,Exportación EE.UU.,Cliente_23,Tarjeta de Crédito,Entregado,20.81,Caja Master,61.93,4.3,89,12,0603.11.00,Aprobado,Ninguno,FINCA-1,1,La rosa llegó marchita y sin cadena de frío,0,0,NO,NO,487.37,Reclamo
FAC-100414,2025-08-21,Pereira,Zona Cafetera,Clavel,Clavel Exportación,Estándar,3996,1.95,Mercado Local,Cliente_16,Tarjeta de Crédito,Entregado,136.67,Caja Master,75.26,6.2,90,14,0603.12.00,Aprobado,Florverde,FINCA-5,4,Sugiero habilitar pagos con criptomonedas para exportación,2,0,SI,NO,7928.87,Reclamo
FAC-100415,2025-05-27,Bogotá,Sabana Centro,Astromelia,Astromelia Exportación,Premium,5340,1.76,Exportación Europa,Cliente_10,Tarjeta de Crédito,Cancelado,87.49,Procon (Balde),63.04,4.4,95,21,0603.12.00,Aprobado,Ninguno,FINCA-2,5,Requiero catálogo de nuevas variedades de hortensias,0,0,NO,NO,9485.89,Petición
FAC-100416,2025-08-05,Cali,Zona Industrial,Girasol,Girasol Exportación,Segunda,2160,2.24,E-commerce,Cliente_21,Tarjeta de Crédito,Pendiente,136.55,Ramo Individual,62.02,2.5,80,14,0603.11.00,Aprobado,Florverde,FINCA-1,4,Pongan un centro de acopio más cercano a Rionegro,0,0,SI,NO,4974.95,Reclamo
FAC-100417,2025-12-23,Bogotá,Sabana Centro,Hortensia,Hortensia Exportación,Segunda,4644,1.82,Mercado Local,Cliente_4,PayPal,Retenido en Aduana,322.67,Procon (Balde),22.74,2.5,90,17,0603.11.00,Aprobado,Rainforest Alliance,FINCA-1,5,Mala atención en el counter de despacho,0,0,NO,SI,8774.75,Petición
FAC-100418,2026-05-06,Cali,Yumbo,Girasol,Girasol Exportación,Premium,660,1.47,Mercado Local,Cliente_50,Tarjeta de Crédito,Pendiente,23.43,Caja Master,49.13,6.4,93,17,0603.11.00,Rechazado,Ninguno,FINCA-3,3,Demora de más de 3 horas en la línea de atención,0,0,SI,SI,993.63,Reclamo
FAC-100419,2026-01-10,Pereira,Zona Cafetera,Crisantemo,Crisantemo Exportación,Premium,3480,1.1,Mercado Local,Cliente_7,Efectivo,Cancelado,138.93,Caja Master,52.43,2.5,93,12,0603.11.00,Rechazado,Florverde,FINCA-1,5,Requiero catálogo de nuevas variedades de hortensias,0,0,NO,SI,3966.93,Petición
FAC-100420,2026-02-06,Bogotá,Zona Sur,Clavel,Clavel Exportación,Segunda,5508,0.45,Distribuidor Mayorista,Cliente_26,PayPal,En Tránsito,195.85,Ramo Individual,8.75,3.4,75,21,0603.11.00,Rechazado,Florverde,FINCA-1,2,El asesor comercial fue grosero al teléfono,0,0,SI,SI,2674.45,Reclamo
FAC-100421,2025-10-12,Medellín,Rionegro,Orquídea,Orquídea Exportación,Estándar,5076,1.73,Exportación Europa,Cliente_40,Tarjeta de Crédito,Pendiente,142.38,Procon (Balde),50.87,3.6,92,21,0603.11.00,Aprobado,Rainforest Alliance,FINCA-1,4,Requiero catálogo de nuevas variedades de hortensias,0,0,NO,NO,8923.86,Petición
FAC-100422,2025-12-05,Cali,Palmira,Orquídea,Orquídea Exportación,Estándar,3468,0.66,Distribuidor Mayorista,Cliente_38,Transferencia Bancaria,Entregado,82.78,Ramo Individual,70.41,4.3,91,7,0603.12.00,Rechazado,Florverde,FINCA-3,4,Demora de más de 3 horas en la línea de atención,0,0,NO,SI,2371.66,Queja
FAC-100423,2026-01-03,Pereira,Dosquebradas,Girasol,Girasol Exportación,Estándar,732,0.29,E-commerce,Cliente_13,PayPal,Cancelado,246.88,Caja Master,41.8,2.2,96,15,0603.11.00,Aprobado,Rainforest Alliance,FINCA-1,4,Sugiero habilitar pagos con criptomonedas para exportación,2,0,NO,NO,459.16,Sugerencia
FAC-100424,2025-09-07,Medellín,Guarne,Hortensia,Hortensia Exportación,Premium,1068,1.71,Distribuidor Mayorista,Cliente_50,Efectivo,En Tránsito,125.87,Procon (Balde),58.68,6.2,78,5,0603.11.00,Rechazado,Rainforest Alliance,FINCA-1,5,Sugiero habilitar pagos con criptomonedas para exportación,0,0,SI,SI,1952.15,Reclamo
FAC-100425,2025-03-21,Pereira,Zona Cafetera,Hortensia,Hortensia Exportación,Segunda,5820,1.39,Mercado Local,Cliente_12,Transferencia Bancaria,Cancelado,314.32,Ramo Individual,58.61,8.6,75,11,0603.12.00,Aprobado,Ninguno,FINCA-1,4,Petición de estado de cuenta del último mes,0,0,SI,NO,8404.12,Reclamo
FAC-100426,2025-04-08,Medellín,Rionegro,Crisantemo,Crisantemo Exportación,Premium,3600,1.31,Mercado Local,Cliente_37,Tarjeta de Crédito,Entregado,116.8,Ramo Individual,62.38,8.5,93,19,0603.12.00,Aprobado,Florverde,FINCA-4,1,Faltaron 5 docenas de claveles en la caja master,0,0,SI,NO,4832.8,Reclamo
FAC-100427,2025-06-01,Medellín,La Ceja,Orquídea,Orquídea Exportación,Segunda,4092,2.24,Mercado Local,Cliente_29,PayPal,Pendiente,80.7,Ramo Individual,30.53,7.6,78,15,0603.11.00,Rechazado,Rainforest Alliance,FINCA-1,2,Pongan un centro de acopio más cercano a Rionegro,1,0,SI,SI,9246.78,Reclamo
FAC-100428,2025-04-22,Pereira,Dosquebradas,Astromelia,Astromelia Exportación,Segunda,4968,2.45,Exportación EE.UU.,Cliente_17,PayPal,Cancelado,128.36,Ramo Individual,75.0,3.6,78,15,0603.11.00,Rechazado,Rainforest Alliance,FINCA-1,1,Pongan un centro de acopio más cercano a Rionegro,4,0,SI,SI,12299.96,Reclamo
FAC-100429,2026-05-11,Cali,Palmira,Crisantemo,Crisantemo Exportación,Segunda,3432,2.38,Distribuidor Mayorista,Cliente_24,Transferencia Bancaria,Entregado,42.7,Procon (Balde),38.07,6.3,89,20,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,2,Petición de estado de cuenta del último mes,0,0,SI,NO,8210.86,Reclamo
FAC-100430,2025-01-30,Medellín,La Ceja,Astromelia,Astromelia Exportación,Estándar,3324,0.73,Exportación EE.UU.,Cliente_7,Transferencia Bancaria,Pendiente,322.11,Ramo Individual,36.01,5.4,87,12,0603.12.00,Rechazado,Florverde,FINCA-5,3,Solicito copia del certificado fitosanitario de exportación,0,0,NO,SI,2748.63,Petición
FAC-100431,2025-10-24,Pereira,Dosquebradas,Clavel,Clavel Exportación,Estándar,4068,2.48,Exportación Europa,Cliente_6,Tarjeta de Crédito,Pendiente,321.13,Ramo Individual,9.46,3.8,79,21,0603.12.00,Aprobado,Florverde,FINCA-1,1,Faltaron 5 docenas de claveles en la caja master,0,0,SI,NO,10409.77,Reclamo
FAC-100432,2026-01-12,Bogotá,Sabana Centro,Crisantemo,Crisantemo Exportación,Segunda,2496,2.16,E-commerce,Cliente_46,Transferencia Bancaria,Retenido en Aduana,349.31,Caja Master,54.88,8.1,96,13,0603.12.00,Rechazado,Rainforest Alliance,FINCA-5,5,Petición de estado de cuenta del último mes,0,0,SI,SI,5740.67,Reclamo
FAC-100433,2025-10-05,Medellín,Rionegro,Crisantemo,Crisantemo Exportación,Segunda,5316,2.36,Distribuidor Mayorista,Cliente_43,PayPal,Pendiente,165.69,Caja Master,53.1,5.1,87,16,0603.12.00,Rechazado,Rainforest Alliance,FINCA-4,4,Faltaron 5 docenas de claveles en la caja master,0,0,NO,SI,12711.45,Petición
FAC-100434,2025-02-01,Medellín,La Ceja,Crisantemo,Crisantemo Exportación,Estándar,4140,2.43,Exportación EE.UU.,Cliente_26,Transferencia Bancaria,Pendiente,191.82,Procon (Balde),46.96,6.2,95,14,0603.11.00,Rechazado,Ninguno,FINCA-4,3,Petición de estado de cuenta del último mes,0,0,SI,SI,10252.02,Reclamo
FAC-100435,2026-01-18,Medellín,Guarne,Orquídea,Orquídea Exportación,Estándar,4932,1.85,Mercado Local,Cliente_22,Tarjeta de Crédito,Entregado,92.12,Ramo Individual,70.68,6.6,82,11,0603.12.00,Aprobado,Florverde,FINCA-4,2,Deberían implementar empaques biodegradables,0,0,SI,NO,9216.32,Reclamo
FAC-100436,2025-06-10,Pereira,Dosquebradas,Girasol,Girasol Exportación,Segunda,4800,0.31,Distribuidor Mayorista,Cliente_45,Tarjeta de Crédito,Retenido en Aduana,336.43,Caja Master,51.87,8.1,98,8,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,5,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,1824.43,Reclamo
FAC-100437,2025-01-30,Bogotá,Zona Norte,Girasol,Girasol Exportación,Premium,720,0.48,Distribuidor Mayorista,Cliente_50,Tarjeta de Crédito,Retenido en Aduana,283.74,Procon (Balde),58.05,1.8,90,6,0603.11.00,Rechazado,Florverde,FINCA-3,2,Demora de más de 3 horas en la línea de atención,7,0,NO,SI,629.34,Queja
FAC-100438,2025-01-26,Pereira,Dosquebradas,Hortensia,Hortensia Exportación,Segunda,3252,2.47,E-commerce,Cliente_5,Tarjeta de Crédito,En Tránsito,148.7,Procon (Balde),48.72,5.0,91,16,0603.12.00,Aprobado,Rainforest Alliance,FINCA-5,1,Pongan un centro de acopio más cercano a Rionegro,0,0,NO,NO,8181.14,Sugerencia
FAC-100439,2025-10-27,Pereira,Dosquebradas,Orquídea,Orquídea Exportación,Segunda,4824,1.96,E-commerce,Cliente_28,PayPal,Entregado,52.35,Procon (Balde),68.4,6.8,94,18,0603.11.00,Aprobado,Ninguno,FINCA-1,5,Demora de más de 3 horas en la línea de atención,0,0,SI,NO,9507.39,Reclamo
FAC-100440,2025-09-02,Pereira,Dosquebradas,Crisantemo,Crisantemo Exportación,Estándar,936,1.4,Exportación Europa,Cliente_1,Efectivo,Entregado,192.16,Procon (Balde),36.69,3.3,80,18,0603.12.00,Rechazado,Ninguno,FINCA-5,3,Mala atención en el counter de despacho,0,0,SI,SI,1502.56,Reclamo
FAC-100441,2025-09-15,Bogotá,Sabana Occidente,Hortensia,Hortensia Exportación,Segunda,5124,0.47,Exportación EE.UU.,Cliente_35,Carta de Crédito,Pendiente,341.93,Procon (Balde),66.21,1.6,95,18,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,2,Solicito copia del certificado fitosanitario de exportación,5,0,NO,NO,2750.21,Queja
FAC-100442,2026-04-16,Bogotá,Zona Sur,Orquídea,Orquídea Exportación,Estándar,5076,0.48,Distribuidor Mayorista,Cliente_26,Tarjeta de Crédito,Entregado,81.68,Procon (Balde),52.89,2.9,75,10,0603.11.00,Aprobado,Ninguno,FINCA-2,4,Solicito copia del certificado fitosanitario de exportación,0,0,SI,NO,2518.16,Reclamo
FAC-100443,2026-03-13,Cali,Zona Industrial,Girasol,Girasol Exportación,Segunda,276,1.12,Exportación Europa,Cliente_12,Carta de Crédito,Entregado,138.46,Procon (Balde),31.61,4.2,76,14,0603.12.00,Rechazado,Florverde,FINCA-2,3,Demora de más de 3 horas en la línea de atención,0,0,SI,SI,447.58,Reclamo
FAC-100444,2025-09-29,Pereira,Dosquebradas,Clavel,Clavel Exportación,Premium,4104,1.91,Distribuidor Mayorista,Cliente_50,Transferencia Bancaria,Cancelado,244.16,Ramo Individual,42.3,6.9,78,9,0603.11.00,Aprobado,Ninguno,FINCA-1,2,Sugiero habilitar pagos con criptomonedas para exportación,0,0,SI,NO,8082.8,Reclamo
FAC-100445,2025-03-22,Bogotá,Sabana Centro,Astromelia,Astromelia Exportación,Premium,5196,1.39,Exportación Europa,Cliente_19,Efectivo,Cancelado,188.79,Procon (Balde),12.82,8.9,96,9,0603.11.00,Rechazado,Rainforest Alliance,FINCA-3,3,Petición de estado de cuenta del último mes,0,0,SI,SI,7411.23,Reclamo
FAC-100446,2025-01-30,Pereira,Dosquebradas,Girasol,Girasol Exportación,Estándar,3120,2.46,E-commerce,Cliente_38,Tarjeta de Crédito,En Tránsito,58.8,Ramo Individual,34.6,3.0,75,19,0603.12.00,Rechazado,Florverde,FINCA-3,4,Deberían implementar empaques biodegradables,0,0,SI,SI,7734.0,Reclamo
FAC-100447,2026-05-07,Medellín,Rionegro,Rosa,Rosa Exportación,Segunda,156,2.08,Exportación Europa,Cliente_21,Carta de Crédito,Entregado,251.14,Procon (Balde),76.2,5.9,94,13,0603.11.00,Aprobado,Rainforest Alliance,FINCA-3,2,Requiero catálogo de nuevas variedades de hortensias,0,48,NO,NO,575.62,Reclamo
FAC-100448,2025-09-18,Pereira,Dosquebradas,Astromelia,Astromelia Exportación,Segunda,5736,0.44,Distribuidor Mayorista,Cliente_7,PayPal,Retenido en Aduana,216.81,Procon (Balde),79.93,3.4,77,7,0603.11.00,Aprobado,Florverde,FINCA-3,1,Mala atención en el counter de despacho,0,0,SI,SI,2740.65,Reclamo
FAC-100449,2025-02-11,Medellín,Valle de Aburrá,Hortensia,Hortensia Exportación,Premium,2580,1.05,E-commerce,Cliente_15,PayPal,Retenido en Aduana,249.76,Caja Master,28.63,7.6,93,20,0603.11.00,Aprobado,Florverde,FINCA-2,1,Mala atención en el counter de despacho,0,0,SI,SI,2958.76,Reclamo
FAC-100450,2026-03-12,Cali,Zona Industrial,Hortensia,Hortensia Exportación,Estándar,2496,1.65,Mercado Local,Cliente_13,Efectivo,Entregado,268.96,Ramo Individual,6.45,5.0,84,17,0603.11.00,Aprobado,Ninguno,FINCA-2,4,Solicito copia del certificado fitosanitario de exportación,1,0,SI,NO,4387.36,Reclamo
FAC-100451,2025-04-06,Medellín,La Ceja,Crisantemo,Crisantemo Exportación,Segunda,4512,1.62,Exportación Europa,Cliente_38,Carta de Crédito,Entregado,232.75,Ramo Individual,51.62,4.0,75,10,0603.11.00,Rechazado,Florverde,FINCA-3,5,Demora de más de 3 horas en la línea de atención,7,0,SI,SI,7542.19,Reclamo
FAC-100452,2025-02-05,Pereira,Zona Cafetera,Rosa,Rosa Exportación,Premium,4788,1.84,Mercado Local,Cliente_28,PayPal,Cancelado,140.82,Procon (Balde),76.18,5.3,93,5,0603.12.00,Rechazado,Ninguno,FINCA-3,4,Petición de estado de cuenta del último mes,0,0,NO,SI,8950.74,Petición
FAC-100453,2025-11-01,Pereira,Zona Cafetera,Crisantemo,Crisantemo Exportación,Segunda,5340,2.1,Exportación Europa,Cliente_28,Transferencia Bancaria,Entregado,106.14,Ramo Individual,68.13,4.1,81,7,0603.11.00,Rechazado,Florverde,FINCA-4,2,Cobro injustificado de tarifa logística en la factura,0,0,SI,SI,11320.14,Reclamo
FAC-100454,2025-02-04,Medellín,La Ceja,Orquídea,Orquídea Exportación,Segunda,3780,0.52,E-commerce,Cliente_47,Efectivo,Entregado,259.62,Procon (Balde),52.63,4.5,98,10,0603.11.00,Aprobado,Florverde,FINCA-2,3,Solicito copia del certificado fitosanitario de exportación,0,0,NO,NO,2225.22,Petición
FAC-100455,2025-12-12,Medellín,Guarne,Astromelia,Astromelia Exportación,Estándar,336,1.12,E-commerce,Cliente_1,Efectivo,Cancelado,270.95,Caja Master,53.2,2.0,98,5,0603.11.00,Aprobado,Florverde,FINCA-1,3,Sugiero habilitar pagos con criptomonedas para exportación,0,0,NO,NO,647.27,Sugerencia
FAC-100456,2026-03-18,Bogotá,Sabana Centro,Girasol,Girasol Exportación,Segunda,5484,1.95,Exportación EE.UU.,Cliente_48,Efectivo,Pendiente,215.76,Ramo Individual,7.97,6.2,88,15,0603.12.00,Aprobado,Rainforest Alliance,FINCA-2,1,Demora de más de 3 horas en la línea de atención,0,0,SI,NO,10909.56,Reclamo
FAC-100457,2025-05-01,Cali,Yumbo,Crisantemo,Crisantemo Exportación,Segunda,840,1.77,E-commerce,Cliente_22,Efectivo,Pendiente,269.72,Ramo Individual,53.52,6.4,91,20,0603.11.00,Rechazado,Ninguno,FINCA-2,3,Solicito copia del certificado fitosanitario de exportación,0,0,SI,SI,1756.52,Reclamo
FAC-100458,2025-07-26,Cali,Zona Industrial,Rosa,Rosa Exportación,Premium,408,1.18,Mercado Local,Cliente_30,Efectivo,En Tránsito,161.09,Caja Master,25.03,2.7,85,21,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,4,Solicito copia del certificado fitosanitario de exportación,0,0,NO,NO,642.53,Petición
FAC-100459,2025-03-03,Bogotá,Zona Norte,Hortensia,Hortensia Exportación,Estándar,2904,0.71,Exportación EE.UU.,Cliente_21,Tarjeta de Crédito,Entregado,105.89,Ramo Individual,78.59,1.7,78,16,0603.11.00,Rechazado,Florverde,FINCA-3,4,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,2167.73,Reclamo
FAC-100460,2026-04-28,Cali,Yumbo,Crisantemo,Crisantemo Exportación,Segunda,3720,1.34,Mercado Local,Cliente_10,Carta de Crédito,Retenido en Aduana,256.26,Procon (Balde),48.3,5.5,82,14,0603.11.00,Aprobado,Ninguno,FINCA-2,4,Deberían implementar empaques biodegradables,0,0,SI,SI,5241.06,Reclamo
FAC-100461,2026-04-01,Medellín,Valle de Aburrá,Girasol,Girasol Exportación,Premium,924,0.89,E-commerce,Cliente_42,Tarjeta de Crédito,Cancelado,128.26,Ramo Individual,10.11,7.9,83,9,0603.11.00,Rechazado,Florverde,FINCA-2,3,El asesor comercial fue grosero al teléfono,0,12,SI,SI,950.62,Reclamo
FAC-100462,2025-10-19,Medellín,Valle de Aburrá,Crisantemo,Crisantemo Exportación,Segunda,1464,1.62,Mercado Local,Cliente_37,Tarjeta de Crédito,Cancelado,327.87,Caja Master,47.75,8.5,94,10,0603.11.00,Rechazado,Ninguno,FINCA-2,3,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,2699.55,Reclamo
FAC-100463,2025-05-07,Pereira,Zona Cafetera,Hortensia,Hortensia Exportación,Segunda,3072,1.54,Mercado Local,Cliente_26,Carta de Crédito,Retenido en Aduana,27.04,Ramo Individual,59.63,6.8,92,9,0603.12.00,Aprobado,Florverde,FINCA-3,3,Demora de más de 3 horas en la línea de atención,0,0,SI,SI,4757.92,Reclamo
FAC-100464,2025-10-24,Bogotá,Sabana Centro,Hortensia,Hortensia Exportación,Premium,4908,1.12,Exportación EE.UU.,Cliente_26,Transferencia Bancaria,En Tránsito,264.54,Caja Master,58.44,5.9,80,14,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,2,Pongan un centro de acopio más cercano a Rionegro,5,0,SI,NO,5761.5,Reclamo
FAC-100465,2025-11-01,Cali,Yumbo,Rosa,Rosa Exportación,Estándar,1020,1.24,Exportación Europa,Cliente_48,Carta de Crédito,Entregado,244.64,Ramo Individual,24.31,4.7,90,10,0603.12.00,Rechazado,Florverde,FINCA-3,1,Cobro injustificado de tarifa logística en la factura,0,0,NO,SI,1509.44,Reclamo
FAC-100466,2025-01-21,Pereira,Zona Cafetera,Orquídea,Orquídea Exportación,Premium,3732,0.79,E-commerce,Cliente_20,Transferencia Bancaria,Entregado,254.49,Ramo Individual,13.67,3.0,81,16,0603.12.00,Rechazado,Rainforest Alliance,FINCA-1,5,Pongan un centro de acopio más cercano a Rionegro,0,0,SI,SI,3202.77,Reclamo
